Product ID,Category,Product Name,Specification,Unit,Price (NZD)
FOL001,foliar fertilizer,18-18-18 tong hop,20kg,bucket,80.00
FOL002,foliar fertilizer,20-20-20,565g,carton,121.33
FOL003,foliar fertilizer,20-20-20+TE,565g,carton,121.33
FOL004,foliar fertilizer,20-30-20 + TE Sieu de nhanh lua,50g,carton,93.33
FOL005,foliar fertilizer,33-11-11,50g,carton,150.00
FOL006,foliar fertilizer,6-30-30 + TE,565g,carton,121.33
FOL007,foliar fertilizer,7-5-44 + te,100g,carton,77.33
FOL008,foliar fertilizer,Acid sold bot,1kg,carton,90.00
FOL009,foliar fertilizer,Amino canxi,0.5l,carton,160.00
FOL010,foliar fertilizer,Amino Humika (bot),1kg,carton,86.67
FOL011,foliar fertilizer,Amino Humika (vien),1kg,carton,86.67
FOL012,foliar fertilizer,bam dinh,1l,carton,19.33
FOL013,foliar fertilizer,Biking G,5l,carton,196.00
FOL014,foliar fertilizer,Biking G rai goc,1kg,carton,133.33
FOL015,foliar fertilizer,Bioking Gold,0.5l,carton,133.33
FOL016,foliar fertilizer,Bioking rai goc,1kg,carton,133.33
FOL017,foliar fertilizer,Bloom 10-60-10,1kg,carton,146.67
FOL018,foliar fertilizer,Bloom 10-60-10,50g,carton,173.33
FOL019,foliar fertilizer,Bloom 10-60-10,1kg,carton,146.67
FOL020,foliar fertilizer,Bloom 10-60-10,50g,carton,173.33
FOL021,foliar fertilizer,Bloom 10-60-10,565g,carton,140.00
FOL022,foliar fertilizer,Bo kem,0.5l,carton,121.33
FOL023,foliar fertilizer,bong trai dep mau mang cau,0.5l,carton,133.33
FOL024,foliar fertilizer,Boom fruit,0.5l,carton,266.67
FOL025,foliar fertilizer,boron,0.5l,carton,121.33
FOL026,foliar fertilizer,Boron (Sieu Bo),0.5l,carton,121.33
FOL027,foliar fertilizer,Canxi bo,0.5l,carton,114.67
FOL028,foliar fertilizer,canxi bo,125ml,carton,120.00
FOL029,foliar fertilizer,canxi bo sua,0.5l,carton,133.33
FOL030,foliar fertilizer,chong nghen dau lan,0.5l,carton,96.00
FOL031,foliar fertilizer,Chong nghen dong,0.5l,carton,93.33
FOL032,foliar fertilizer,chong nghen dong tro thoat dong loat,0.5l,carton,93.33
FOL033,foliar fertilizer,Chong ngu dau lan,0.5l,carton,96.00
FOL034,foliar fertilizer,Chong ngu dau lan,125ml,carton,92.00
FOL035,foliar fertilizer,chuyen bau bi,0.5l,carton,80.53
FOL036,foliar fertilizer,Chuyen gia phan hoa mam hoa,1kg,carton,200.00
FOL037,foliar fertilizer,Chuyen gia phan hoa mam hoa,250gx4,carton,200.00
FOL038,foliar fertilizer,DH05,1kg,carton,186.67
FOL039,foliar fertilizer,DH05,500g,carton,186.67
FOL040,foliar fertilizer,DH08,1kg,carton,186.67
FOL041,foliar fertilizer,DH09 - Chuyen kich bong xoai,1kg,carton,186.67
FOL042,foliar fertilizer,Dolla,1kg,carton,67.20
FOL043,foliar fertilizer,dong chelate,0.5l,carton,133.33
FOL044,foliar fertilizer,dong xanh sunphat,1kg,carton,70.00
FOL045,foliar fertilizer,duong hoa xanh nu troi hot xoai,0.5l,carton,104.00
FOL046,foliar fertilizer,Fofer,1kg,carton,106.67
FOL047,foliar fertilizer,Ga3 sua,0.5l,carton,213.33
